序號,班級,學號,姓名,GitHub,作業一,作業二,作業三,作業四,作業五,作業六,作業七,作業八,作業九,作業十
22,創新AI,111C52996,龫锧琫,3shwv2fzlf,10,10,1,1,7,10,4,7,10,0
23,資工所,112C71969,鍡互壢,33jrseyzxr,7,7,0,5,10,5,1,7,2,7
24,資工系,112598537,襹欒苐,zltcgul4i2,6,0,4,4,6,4,7,3,1,8
25,創新AI,111C71744,蝜鏃瓯,fn6ulcxz43,7,5,6,0,6,3,4,8,8,10
26,資工系,112C71102,姥溩珼,b6a83o3x5n,1,2,3,9,9,4,1,0,4,8
27,電資資安,112598166,沽鉹棧,z4gadwa9xnj,2,6,4,9,0,10,1,1,3,4
28,電資資安,111598057,掽镂矣,lfj2bjbrwr,7,6,7,1,5,9,7,8,1,9
29,創新AI,112C52451,瘍竛艜,2hdaa5xae3,2,3,7,10,9,6,3,0,2,8
30,創新AI,112590594,湟駲黋,fo5ty7fvb8,5,5,9,10,6,3,6,5,1,4
31,電資AI,111598842,缷袄豢,2zv5y2fh8h,3,2,5,6,1,0,3,3,3,7
32,電資AI,111C71737,羆靅甜,v5vbis8ac6,6,9,3,2,1,4,5,0,7,3
33,創新AI,111598128,肀磅駟,8j51f786cw,9,10,10,9,10,0,8,5,4,5
34,創新AI,112590013,瀶鑊洕,5hw5l7ghp7k,8,9,4,9,6,0,6,0,5,4
35,電資資安,112598679,詾镼鯂,4u5brovb1i,0,9,4,1,9,5,0,8,2,7
36,電資資安,112C71385,鬅赺唓,gyl1fupsop,5,7,10,10,7,9,1,4,3,2
37,資工所,112598206,洒摝衸,5xrtnbgh4y,4,1,10,5,3,0,3,3,3,4
38,電資資安,112598651,劮黸祓,qzjxp8qaa9,2,8,7,8,3,0,4,1,9,3
39,資工系,112598899,窘僧該,ydt9ge5cay,4,8,7,7,0,1,7,1,8,0
40,電資資安,111C71903,绯伦渞,69sei18hh3f,1,2,4,6,8,7,1,0,10,5
41,電資AI,112C53463,璢鶏迮,b62s821qvk,1,4,10,0,2,8,10,4,3,3
42,創新AI,111C52502,陃课慚,xcqaye0grwk,7,0,3,7,8,3,5,0,7,1
43,電資資安,111C53117,淂堭筕,46taczaw7fh,5,9,6,5,2,3,4,8,3,9
44,電資資安,111C53789,鱱堁覷,aa9ymmu4ig,5,5,2,0,4,0,9,0,4,8
45,電資資安,111C71489,鵟衝霜,xrzgrlstc4,9,2,6,6,1,8,8,5,4,1
46,電資AI,112598851,遇櫗襉,uaievevwmj,7,10,1,9,4,6,9,1,10,4
47,創新AI,112C53134,袿粭稁,1b1ms4igqi,9,2,1,3,10,7,3,10,4,10
48,電資AI,111590185,则暀檑,kpewapnho,8,0,8,4,0,5,9,1,0,7
49,電資AI,111C71902,輚黡槦,cjmext8d8lg,4,8,1,6,9,2,8,8,3,8
50,資工系,111598638,机賑癐,v1lwpw7cca,4,4,3,2,2,3,0,2,7,9
51,資工系,112C71327,虳丈眞,xa15okrcng,5,9,1,0,3,7,9,10,5,9
52,電資資安,111590841,沣觺埣,213866az7u,5,4,8,7,1,6,4,3,5,6
53,資工所,111598583,確荣捕,m9ls831v4ih,2,3,0,0,7,7,4,3,4,5
54,電資資安,112590871,鰡懍悫,9znxkz6crp,2,9,7,4,5,4,4,3,7,9
55,電資AI,111C52749,浢穾韋,wvdx4exqwb,3,6,2,0,1,8,9,8,6,7
56,電資資安,111C71744,獚慇彯,7033xf4wu9i,5,6,1,5,6,3,10,1,7,0
57,電資資安,112598967,雙朁簪,8vlt5hyw6h,2,5,1,6,4,4,4,3,1,8
58,創新AI,111C71149,荋朳瑭,w66iioqh5j,5,10,3,10,10,10,1,4,7,2
59,資工系,111C53642,搃问爦,6ckmuyfrel,0,1,4,4,3,5,3,0,1,7
60,電資資安,112598973,圆稚箎,f6k67gyes3,4,9,4,8,6,9,1,6,7,10
61,創新AI,112C71705,粲騭櫹,vyboj0d4cn,5,0,10,9,1,7,5,0,1,2
62,電資AI,112C71269,鲿悩瑟,xm3sklriho,3,10,10,3,8,5,0,7,6,2
63,電資AI,111C71758,剷眀龂,2j09bc4fft,9,10,4,5,2,4,0,0,0,1
64,資工系,112C53694,橡貯趃,grm50e0ugv,0,3,1,0,4,2,8,4,8,1
65,創新AI,111C53266,皷壀觻,hgzgsaikq3,2,3,10,3,5,8,9,2,3,0
66,資工所,112C53158,娙劐搰,lxabop91w4,8,2,10,7,2,7,9,7,10,10
67,資工系,112C52256,油帾泫,za0kjt2mvo,8,4,7,4,6,9,10,1,10,8
68,電資AI,112590596,虦爢駻,92n7u7knnu,4,1,2,0,2,0,6,6,10,0
69,創新AI,112598471,奊睜懸,wso8w39d8l,4,6,0,2,7,2,6,0,2,6
70,電資資安,112C52761,寶凇是,90gsa590ws,10,2,2,9,5,4,0,8,3,7
71,資工所,111C52506,呰吡姜,fp7ydjmqy,1,0,10,6,4,9,3,0,9,2
72,電資AI,112C53125,畠抈孊,jonp1jboji,8,7,8,10,5,8,3,2,6,1
73,資工系,111C53095,鴎纄总,eck7fh1ocs,2,6,8,0,9,0,6,5,4,0
74,電資AI,111C52011,馵翩襚,2rtexza6arf,1,5,6,5,0,9,7,2,10,4
75,電資AI,111590466,鑑竡葫,x96mwyv1jb,4,2,0,4,10,1,8,4,10,0
76,創新AI,112598693,騘匾埼,vve6d3mlte,5,5,0,7,8,10,9,4,9,0
77,電資AI,112C52662,僺廨臤,shsnb1uraoj,4,6,1,2,7,7,0,0,1,0
78,電資資安,111C53484,鵉毤苒,2gxjkpt36f,6,5,3,8,10,1,8,9,6,10
79,資工系,111C52379,鸓繷备,666fw0lr9n,9,0,8,5,8,4,0,1,1,3
80,創新AI,111C52078,駸鐫詞,l52oo7yldg,4,4,5,0,2,5,0,4,10,9
81,創新AI,111C71872,暽撖倛,m5c89m5jfb,7,4,3,0,2,10,6,2,9,5
82,電資AI,112C71171,亴鮠溗,9hvew284le,3,1,9,7,2,9,2,6,4,2
83,電資AI,111598018,颠欂釺,4ltvqg8f0j,9,3,8,9,7,2,2,0,8,6
84,電資AI,112598243,贑訸鄰,cq4q3uo1gw,0,8,3,1,5,9,1,9,10,10
85,創新AI,111590771,諘鄊諼,a0gnqa1ud,7,2,5,0,6,0,3,8,6,6
86,電資AI,112598213,焥姭蚫,s4vqfigymr,8,1,6,6,2,3,4,3,8,3
87,電資AI,111598044,都費閆,m12ghryivvh,4,5,0,1,4,7,1,6,3,6
88,電資AI,111590871,曋谹晔,36wihbxd6h,5,10,7,3,0,9,1,10,6,0
89,電資資安,112C71852,薶簲齚,q8wlypa806,6,2,0,5,8,8,0,9,1,0
90,電資資安,111598983,葑沷耾,7jqfslqe7s,10,10,6,2,0,8,8,6,1,8
91,資工系,112598941,詩碜廟,0rnqrsitwi,8,0,7,9,1,1,6,4,10,4
92,電資AI,112C53499,媻徸鉃,0wn4hqdgme,7,6,10,5,7,2,3,8,5,5
93,資工所,112598544,賊獮犠,tjquh1l4qa,3,4,0,1,1,5,4,8,4,7
94,電資AI,112598808,嵰揅蓎,8ysvm7vkvy,4,5,0,1,4,2,7,10,4,3
95,創新AI,112590272,恸吨議,sidp63p7ub,2,4,9,0,8,1,4,5,5,7
96,資工系,111590845,猰吂罬,774u4pbe21,7,5,10,1,10,2,4,6,9,6
97,電資AI,112590992,吡蝒鴥,jd79h93pk9,9,8,9,4,2,6,9,9,2,8
98,創新AI,111C53171,滓窄嵰,jcwkbpnwey,2,7,0,6,3,7,10,4,2,2
99,資工所,111C52336,艒劃侼,3z9f0zv8e6,2,9,0,6,4,1,10,10,7,9
100,資工系,111590281,苮烓洘,52xftoy20w,7,6,1,3,2,8,1,6,4,7
101,資工系,111C71776,痋懲冏,9npnclvl0v,4,10,3,2,2,6,6,6,0,7
102,電資AI,112C53116,欙鈤澭,kr3iw1osti,8,3,4,2,0,2,10,5,0,1
103,電資AI,111C71538,炻耣侊,nvftyx5z76,3,0,8,9,8,1,4,6,3,5
104,資工系,111590276,嘴恠劭,qxwin3ksn6,1,8,6,0,5,1,8,5,6,8
105,資工所,112C52956,桻狫新,6s1pjf0dk6,4,2,5,7,1,4,7,0,4,1
106,電資AI,112C53546,薗僾覛,xp49blcqrzj,3,10,1,4,1,3,9,6,8,10
107,電資資安,111C52345,澖鞾俯,hcltq4zydsi,10,6,9,7,5,6,4,3,4,1
108,創新AI,112C53309,藱飥醒,xbzg7vxfk2,2,1,9,9,6,4,5,3,10,6
109,資工系,111C71138,刾玈埪,x3kb1kb4f5,9,1,3,5,6,1,1,3,0,4
110,電資AI,112590753,顠宄籦,02h0ykw785,3,9,4,6,1,8,9,9,9,3
111,電資AI,111C53995,醹侜釹,f53tcc2ax7,2,4,6,6,9,4,0,9,10,2
112,創新AI,111C53634,蝪押仞,8l6v1vexpt,2,5,6,1,1,4,7,7,1,2
113,資工所,112C71253,鈺笀輤,wt37kfts17,3,5,9,4,3,0,10,4,10,0
114,創新AI,111598559,稇痈蚲,eb6z7e99r,4,2,7,9,3,8,3,4,0,0
115,資工系,111598821,嬩鑰强,7ipkh56wsv,6,0,0,3,1,0,1,0,1,8
116,創新AI,112C52691,劤圔柌,cmc5c1r79zk,4,2,2,0,5,3,2,9,10,5
117,電資資安,112590663,釡爉该,t2m3kbhpncl,4,10,3,2,2,8,4,2,8,10
118,資工系,111C52179,摃琶譀,svi82veimr,0,5,4,2,3,1,2,4,7,3
119,資工系,112C52585,啄爞蚲,2s38iz6iua,3,5,9,3,2,3,3,8,6,7
120,資工所,111C71045,掏磕瞞,zgym5xwcve,4,1,1,5,3,10,9,5,0,8
